,0
0,https://www.pro-football-reference.com/teams/buf/2023.htm
1,https://www.pro-football-reference.com/teams/mia/2023.htm
2,https://www.pro-football-reference.com/teams/nyj/2023.htm
3,https://www.pro-football-reference.com/teams/nwe/2023.htm
4,https://www.pro-football-reference.com/teams/rav/2023.htm
5,https://www.pro-football-reference.com/teams/cle/2023.htm
6,https://www.pro-football-reference.com/teams/pit/2023.htm
7,https://www.pro-football-reference.com/teams/cin/2023.htm
8,https://www.pro-football-reference.com/teams/htx/2023.htm
9,https://www.pro-football-reference.com/teams/jax/2023.htm
10,https://www.pro-football-reference.com/teams/clt/2023.htm
11,https://www.pro-football-reference.com/teams/oti/2023.htm
12,https://www.pro-football-reference.com/teams/kan/2023.htm
13,https://www.pro-football-reference.com/teams/rai/2023.htm
14,https://www.pro-football-reference.com/teams/den/2023.htm
15,https://www.pro-football-reference.com/teams/sdg/2023.htm
16,https://www.pro-football-reference.com/teams/dal/2023.htm
17,https://www.pro-football-reference.com/teams/phi/2023.htm
18,https://www.pro-football-reference.com/teams/nyg/2023.htm
19,https://www.pro-football-reference.com/teams/was/2023.htm
20,https://www.pro-football-reference.com/teams/det/2023.htm
21,https://www.pro-football-reference.com/teams/gnb/2023.htm
22,https://www.pro-football-reference.com/teams/min/2023.htm
23,https://www.pro-football-reference.com/teams/chi/2023.htm
24,https://www.pro-football-reference.com/teams/tam/2023.htm
25,https://www.pro-football-reference.com/teams/nor/2023.htm
26,https://www.pro-football-reference.com/teams/atl/2023.htm
27,https://www.pro-football-reference.com/teams/car/2023.htm
28,https://www.pro-football-reference.com/teams/sfo/2023.htm
29,https://www.pro-football-reference.com/teams/ram/2023.htm
30,https://www.pro-football-reference.com/teams/sea/2023.htm
31,https://www.pro-football-reference.com/teams/crd/2023.htm
